"player_name","player_year","player_Rk","player_Pk","player_Tm","player_College","player_Yrs","player_G","player_MP","player_PTS","player_TRB","player_AST","player_FG","player_FT","player_WS","player_WS48","player_BPM","player_selection6","player_VORP","player_P3"
"Cazzie Russell","1966 NBA Draft","1","1","NYK","Michigan","12","817","27.2","15.1","3.8","2.2",".464",".827","51.7",".112","-0.5","3.3","3.3",""
"Dave Bing","1966 NBA Draft","2","2","DET","Syracuse","12","901","36.4","20.3","3.8","6.0",".441",".775","68.8",".101","-0.3","5.6","5.6",""
"Clyde Lee","1966 NBA Draft","3","3","SFW","Vanderbilt","10","742","26.8","7.7","10.3","1.1",".432",".614","33.5",".081","-2.3","-0.4","-0.4",""
"Lou Hudson","1966 NBA Draft","4","4","STL","Minnesota","13","890","33.5","20.2","4.4","2.7",".489",".797","81.0",".131","0.4","6.8","6.8",""
"Jack Marin","1966 NBA Draft","5","5","BAL","Duke","11","849","29.0","14.8","5.2","2.1",".465",".843","59.3",".116","-1.7","0.5","0.5",""
"Walt Wesley","1966 NBA Draft","6","6","CIN","Kansas","10","590","17.5","8.5","5.5","0.7",".434",".630","9.5",".044","-2.7","-0.1","-0.1",""
"Jerry Chambers","1966 NBA Draft","7","7","LAL","Utah","4","239","15.4","8.1","3.1","0.8",".442",".747","2.8",".037","","","",""
"Jim Barnett","1966 NBA Draft","8","8","BOS","Oregon","11","732","23.8","11.7","3.1","3.0",".435",".797","33.2",".092","-1.1","1.1","1.1",""
"Matt Guokas","1966 NBA Draft","9","9","PHI","Saint Joseph's","10","735","22.6","5.8","2.0","3.0",".489",".727","26.7",".077","-1.8","0.2","0.2",""
"Dave Schellhase","1966 NBA Draft","10","10","CHI","Purdue","2","73","7.0","2.8","1.0","0.8",".349",".567","-0.6","-.061","","","",""
"Henry Akin","1966 NBA Draft","11","11","NYK","Morehead State University","2","86","8.3","3.5","2.1","0.5",".351",".676","-1.2","-.084","","","",""
"Dorie Murrey","1966 NBA Draft","12","12","DET","Detroit Mercy","6","357","12.6","4.7","4.4","0.6",".425",".679","6.5",".070","","","",""
"Joe Ellis","1966 NBA Draft","13","13","SFW","San Francisco","8","524","19.8","8.8","5.1","1.4",".398",".727","5.0",".023","-4.0","-0.3","-0.3",""
"Dick Snyder","1966 NBA Draft","14","14","STL","Davidson","13","964","26.6","12.2","2.8","2.9",".488",".824","58.3",".109","0.1","5.4","5.4",""
"Neil Johnson","1966 NBA Draft","15","15","BAL","Creighton","4","202","11.2","4.0","3.4","1.1",".426",".613","2.0",".042","","","",""
"Jerry Lee Wells","1966 NBA Draft","16","16","CIN","Oklahoma City University","","","","","","","","","","","","","",""
"Hank Finkel","1966 NBA Draft","17","17","LAL","Dayton","9","551","12.5","5.1","3.9","0.8",".449",".662","13.5",".094","-3.0","-0.2","-0.2",""
"Leon Clark","1966 NBA Draft","18","18","BOS","Wyoming","","","","","","","","","","","","","",""
"Bill Melchionni","1966 NBA Draft","19","19","PHI","Villanova","2","144","10.1","4.4","1.4","1.4",".412",".673","1.0",".033","","","",""
"Erwin Mueller","1966 NBA Draft","20","20","CHI","San Francisco","6","425","22.4","7.6","4.8","2.0",".429",".627","9.6",".048","","","",""
"Stew Johnson","1966 NBA Draft","21","21","NYK","Murray State","","","","","","","","","","","","","",""
"Ollie Darden","1966 NBA Draft","22","22","DET","Michigan","","","","","","","","","","","","","",""
"Stephen Chubin","1966 NBA Draft","23","23","SFW","Rhode Island","","","","","","","","","","","","","",""
"Tommy Kron","1966 NBA Draft","24","24","STL","Kentucky","3","184","17.1","6.5","3.3","2.8",".389",".753","1.8",".028","","","",""
"Dave Wagnon","1966 NBA Draft","25","25","BAL","Idaho State University","","","","","","","","","","","","","",""
"Jim Ware","1966 NBA Draft","26","26","CIN","Oklahoma City University","2","63","6.8","2.3","2.3","0.2",".284",".647","-1.1","-.125","","","",""
"John Block","1966 NBA Draft","27","27","LAL","USC","10","597","24.0","11.9","6.6","1.3",".433",".778","32.7",".110","-0.8","0.8","0.8",""
"Gary Turner","1966 NBA Draft","28","28","BOS","TCU","","","","","","","","","","","","","",""
"Donnie Freeman","1966 NBA Draft","29","29","PHI","Illinois","1","64","23.1","10.8","2.8","2.7",".434",".819","2.4",".078","-1.5","0.2","0.2",""
"Ed Bodkin","1966 NBA Draft","30","30","CHI","Eastern Kentucky University","","","","","","","","","","","","","",""
"Lee DeFore","1966 NBA Draft","31","31","NYK","Auburn","","","","","","","","","","","","","",""
"Jeffrey Congdon","1966 NBA Draft","32","32","DET","BYU","","","","","","","","","","","","","",""
"Stephen Vacendak","1966 NBA Draft","33","33","SFW","Duke","","","","","","","","","","","","","",""
"Bob McIntyre","1966 NBA Draft","34","34","STL","St. John's","","","","","","","","","","","","","",""
"George Peeples","1966 NBA Draft","35","35","BAL","Iowa","","","","","","","","","","","","","",""
"Charles Schmaus","1966 NBA Draft","36","36","CIN","Virginia Military Institute","","","","","","","","","","","","","",""
"Archie Clark","1966 NBA Draft","37","37","LAL","Minnesota","10","725","32.5","16.3","3.3","4.8",".480",".769","64.7",".132","-0.4","2.4","2.4",""
"Johnny Austin","1966 NBA Draft","38","38","BOS","Boston College","1","4","15.3","5.8","1.8","1.0",".227",".813","-0.1","-.043","","","",""
"Ken Wilburn","1966 NBA Draft","39","39","PHI","Central State University","1","7","5.7","2.6","1.9","0.4",".471",".250","0.0",".038","","","",""
"Jim Williams","1966 NBA Draft","40","40","CHI","Temple","","","","","","","","","","","","","",""
"Ron Jackson","1966 NBA Draft","41","41","NYK","Clark Atlanta University","","","","","","","","","","","","","",""
